RequestId,ArrivalTime,CompletionTime,TotalLatency,InputTokens,OutputTokens,TotalCost,Steps,Decision
3,1.387328,2.942252,1.554924,756,55,0.00244000,1,generate_text
2,0.738419,4.119131,3.380712,1166,100,0.00292000,1,call_tool
1,0.000000,4.128855,4.128855,1122,154,0.00347250,1,call_tool
5,2.952771,10.689939,7.737168,985,239,0.00425500,1,call_tool
4,2.307539,10.951771,8.644231,764,206,0.00397000,1,generate_text
8,9.525155,14.117362,4.592207,737,141,0.00325250,1,generate_text
6,7.987493,14.227690,6.240196,1087,193,0.00388000,1,call_tool
9,11.329684,14.551614,3.221931,912,158,0.00343000,1,call_tool
7,9.134637,15.901563,6.766926,1217,178,0.00372500,1,call_tool
10,11.707695,16.471093,4.763398,981,115,0.00305250,1,call_tool
11,13.478381,17.118236,3.639856,949,177,0.00372250,1,call_tool
12,15.213500,25.189051,9.975551,975,218,0.00407750,1,call_tool
13,18.006270,25.682055,7.675785,821,165,0.00351000,1,call_tool
15,22.493033,26.804828,4.311794,747,218,0.00404750,1,generate_text
14,21.411537,29.095944,7.684407,748,170,0.00357000,1,generate_text
16,28.478911,29.119522,0.640611,713,21,0.00199250,1,generate_text
17,31.913980,34.335057,2.421077,1051,86,0.00280500,1,call_tool
18,32.807351,38.158077,5.350726,954,183,0.00363750,1,call_tool
19,33.948011,38.989831,5.041820,971,172,0.00349500,1,call_tool
21,38.726740,40.986635,2.259895,1193,171,0.00357250,1,call_tool
20,35.214082,41.029300,5.815218,934,146,0.00325250,1,call_tool
22,39.960248,45.358657,5.398410,1160,183,0.00371750,1,call_tool
23,40.618845,46.204401,5.585555,740,244,0.00429000,1,generate_text
24,44.634007,48.218913,3.584906,1116,141,0.00326000,1,call_tool
25,45.967371,50.436346,4.468975,987,108,0.00290000,1,call_tool
26,48.374374,50.826871,2.452497,787,92,0.00288750,1,generate_text
27,49.132006,53.852782,4.720776,965,126,0.00318750,1,call_tool
29,56.517584,60.846783,4.329200,778,152,0.00346500,1,generate_text
28,53.240561,61.412037,8.171475,1069,225,0.00402750,1,call_tool
30,58.907271,64.889603,5.982332,720,172,0.00352000,1,generate_text
31,63.692610,68.042080,4.349470,739,232,0.00416750,1,generate_text
32,65.669974,69.000612,3.330638,761,95,0.00285250,1,generate_text
33,66.914976,69.320058,2.405082,855,128,0.00306000,1,call_tool
35,69.201240,71.135140,1.933900,750,103,0.00290500,1,generate_text
34,68.931300,73.283923,4.352623,758,179,0.00368500,1,generate_text
36,69.275573,74.050683,4.775110,741,182,0.00367250,1,generate_text
37,70.598265,75.328464,4.730199,989,150,0.00345750,1,call_tool
39,77.201845,79.105014,1.903169,1102,70,0.00260750,1,call_tool
41,83.518060,86.206008,2.687948,1064,148,0.00340000,1,call_tool
38,76.230844,86.401983,10.171140,1086,186,0.00368000,1,call_tool
40,81.691285,87.423067,5.731782,775,208,0.00401750,1,generate_text
42,88.107400,90.974516,2.867117,1002,108,0.00291750,1,call_tool
44,89.800789,91.902687,2.101898,713,121,0.00299250,1,generate_text
45,90.970222,93.774735,2.804513,929,142,0.00327500,1,call_tool
46,91.344953,95.030073,3.685119,1157,109,0.00297750,1,call_tool
47,94.618476,95.817440,1.198963,741,42,0.00227250,1,generate_text
43,89.043686,95.990967,6.947281,1072,174,0.00357750,1,call_tool
48,95.281600,97.916513,2.634913,751,154,0.00341750,1,generate_text
