time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,session_tokens,step,steps,target,total_cost_usd,total_latency_ms,waited_ms,workload
0.000,wf-validation-0001,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
307.675,wf-validation-0002,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
578.053,wf-validation-0003,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
961.475,wf-validation-0004,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
1230.321,wf-validation-0005,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
3328.122,wf-validation-0006,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
3806.099,wf-validation-0007,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
3968.815,wf-validation-0008,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
4720.702,wf-validation-0009,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
4878.206,wf-validation-0010,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
5615.992,wf-validation-0011,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
6338.958,wf-validation-0012,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
7502.613,wf-validation-0013,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
8921.474,wf-validation-0014,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
9372.097,wf-validation-0015,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
11866.213,wf-validation-0016,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
13297.492,wf-validation-0017,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
13669.730,wf-validation-0018,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
14145.004,wf-validation-0019,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,47,,,,,,,,,,,,validation
14672.534,wf-validation-0020,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
16136.142,wf-validation-0021,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
16650.103,wf-validation-0022,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
16924.519,wf-validation-0023,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
18597.503,wf-validation-0024,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
19153.071,wf-validation-0025,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
20155.989,wf-validation-0026,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
20471.669,wf-validation-0027,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
22183.567,wf-validation-0028,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
23548.993,wf-validation-0029,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
24544.696,wf-validation-0030,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
26538.587,wf-validation-0031,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
27362.489,wf-validation-0032,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
27881.240,wf-validation-0033,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
28721.375,wf-validation-0034,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
28833.850,wf-validation-0035,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
28864.822,wf-validation-0036,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
29415.944,wf-validation-0037,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
31762.852,wf-validation-0038,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
32167.435,wf-validation-0039,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
34038.035,wf-validation-0040,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
34799.192,wf-validation-0041,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
36711.416,wf-validation-0042,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
37101.536,wf-validation-0043,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
37416.996,wf-validation-0044,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
37904.259,wf-validation-0045,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
38060.397,wf-validation-0046,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
39424.365,wf-validation-0047,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
39700.667,wf-validation-0048,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
42555.976,wf-validation-0049,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
42567.772,wf-validation-0050,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
43949.937,wf-validation-0051,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
44679.751,wf-validation-0052,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
45651.035,wf-validation-0053,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
46391.008,wf-validation-0054,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
48270.300,wf-validation-0055,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
50219.891,wf-validation-0056,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
51714.858,wf-validation-0057,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
51963.715,wf-validation-0058,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
53400.834,wf-validation-0059,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
53959.014,wf-validation-0060,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
54332.837,wf-validation-0061,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
54678.781,wf-validation-0062,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
55861.232,wf-validation-0063,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
57105.797,wf-validation-0064,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
57498.918,wf-validation-0065,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
57644.342,wf-validation-0066,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
58985.794,wf-validation-0067,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
60429.933,wf-validation-0068,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
62012.443,wf-validation-0069,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,52,,,,,,,,,,,,validation
62150.538,wf-validation-0070,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
62787.877,wf-validation-0071,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
63849.053,wf-validation-0072,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,48,,,,,,,,,,,,validation
64257.961,wf-validation-0073,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,51,,,,,,,,,,,,validation
65824.899,wf-validation-0074,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
66166.767,wf-validation-0075,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,50,,,,,,,,,,,,validation
66936.395,wf-validation-0076,ORCHESTRATOR,SUBMIT,,,,,agent-1,,,,,,,,49,,,,,,,,,,,,validation
