time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
0.000,wf-chat-light-0001,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,73,,,,,,,,,,,,,,,chat-light
0.000,wf-tool-heavy-0192,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,248,,,,,,,,,,,,,,,tool-heavy
184.605,wf-chat-light-0002,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,68,,,,,,,,,,,,,,,chat-light
346.832,wf-chat-light-0003,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,56,,,,,,,,,,,,,,,chat-light
576.885,wf-chat-light-0004,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,64,,,,,,,,,,,,,,,chat-light
738.193,wf-chat-light-0005,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,46,,,,,,,,,,,,,,,chat-light
1169.385,wf-tool-heavy-0193,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,170,,,,,,,,,,,,,,,tool-heavy
1177.843,wf-tool-heavy-0194,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,215,,,,,,,,,,,,,,,tool-heavy
1996.873,wf-chat-light-0006,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,80,,,,,,,,,,,,,,,chat-light
2018.913,wf-tool-heavy-0195,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,205,,,,,,,,,,,,,,,tool-heavy
2283.659,wf-chat-light-0007,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
2381.289,wf-chat-light-0008,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,37,,,,,,,,,,,,,,,chat-light
2400.348,wf-tool-heavy-0196,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,269,,,,,,,,,,,,,,,tool-heavy
2404.610,wf-tool-heavy-0197,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,244,,,,,,,,,,,,,,,tool-heavy
2832.421,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
2926.924,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,61,,,,,,,,,,,,,,,chat-light
3271.188,wf-tool-heavy-0198,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,92,,,,,,,,,,,,,,,tool-heavy
3369.595,wf-chat-light-0011,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,81,,,,,,,,,,,,,,,chat-light
3803.375,wf-chat-light-0012,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,59,,,,,,,,,,,,,,,chat-light
4501.568,wf-chat-light-0013,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,44,,,,,,,,,,,,,,,chat-light
4546.187,wf-tool-heavy-0199,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,198,,,,,,,,,,,,,,,tool-heavy
5352.884,wf-chat-light-0014,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,48,,,,,,,,,,,,,,,chat-light
5623.258,wf-chat-light-0015,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,47,,,,,,,,,,,,,,,chat-light
5773.838,wf-tool-heavy-0200,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,296,,,,,,,,,,,,,,,tool-heavy
6299.998,wf-tool-heavy-0201,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,139,,,,,,,,,,,,,,,tool-heavy
6457.159,wf-tool-heavy-0202,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,258,,,,,,,,,,,,,,,tool-heavy
6748.129,wf-tool-heavy-0203,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,179,,,,,,,,,,,,,,,tool-heavy
7119.728,wf-chat-light-0016,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,13,,,,,,,,,,,,,,,chat-light
7748.223,wf-tool-heavy-0204,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,150,,,,,,,,,,,,,,,tool-heavy
7978.495,wf-chat-light-0017,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
8201.838,wf-chat-light-0018,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,23,,,,,,,,,,,,,,,chat-light
8271.685,wf-tool-heavy-0205,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,152,,,,,,,,,,,,,,,tool-heavy
8487.003,wf-chat-light-0019,ORCHESTRATOR,SUBMIT,,,,,agent-shared,,,,,,,,,10,,,,,,,,,,,,,,,chat-light
