time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
0.000,wf-chat-light-0001,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,73,,,,,,,,,,,,,,,chat-light
0.000,wf-tool-heavy-0496,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,28,,,,,,,,,,,,,,,tool-heavy
73.842,wf-chat-light-0002,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,68,,,,,,,,,,,,,,,chat-light
138.733,wf-chat-light-0003,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,56,,,,,,,,,,,,,,,chat-light
230.754,wf-chat-light-0004,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,64,,,,,,,,,,,,,,,chat-light
295.277,wf-chat-light-0005,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,46,,,,,,,,,,,,,,,chat-light
798.749,wf-chat-light-0006,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,80,,,,,,,,,,,,,,,chat-light
913.464,wf-chat-light-0007,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
952.516,wf-chat-light-0008,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,37,,,,,,,,,,,,,,,chat-light
1132.968,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
1170.769,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,61,,,,,,,,,,,,,,,chat-light
