RequestId,Type,Name,StartTime,EndTime
2,Computation,S1 (Pod 1),2.6007007607643806,3.1007007607643806
2,Network,Net,3.1007007607643806,3.300700760764381
2,Computation,S2 (Pod 3),3.300700760764381,4.55070076076438
2,Network,Net,4.55070076076438,4.7507007607643805
4,Computation,S1 (Pod 1),5.638237263715748,6.138237263715748
4,Network,Net,6.138237263715748,6.338237263715748
4,Computation,S2 (Pod 3),6.338237263715748,7.588237263715748
4,Network,Net,7.588237263715748,7.788237263715748
6,Computation,S1 (Pod 1),8.47767601906355,8.97767601906355
6,Network,Net,8.97767601906355,9.177676019063549
6,Computation,S2 (Pod 3),9.177676019063549,10.427676019063549
6,Network,Net,10.427676019063549,10.627676019063548
8,Computation,S1 (Pod 1),14.071665826239396,14.571665826239396
8,Network,Net,14.571665826239396,14.771665826239396
8,Computation,S2 (Pod 3),14.771665826239396,16.021665826239396
8,Network,Net,16.021665826239396,16.221665826239395
10,Computation,S1 (Pod 1),15.962847805505266,16.462847805505266
10,Network,Net,16.462847805505266,16.662847805505265
10,Computation,S2 (Pod 3),16.662847805505265,17.912847805505265
10,Network,Net,17.912847805505265,18.112847805505265
12,Computation,S1 (Pod 1),24.05238066949102,24.55238066949102
12,Network,Net,24.55238066949102,24.752380669491018
12,Computation,S2 (Pod 3),24.752380669491018,26.002380669491018
12,Network,Net,26.002380669491018,26.202380669491017
14,Computation,S1 (Pod 1),27.971362839841508,28.471362839841508
14,Network,Net,28.471362839841508,28.671362839841507
16,Computation,S1 (Pod 1),29.33924901077519,29.83924901077519
16,Network,Net,29.83924901077519,30.03924901077519
14,Computation,S2 (Pod 3),28.671362839841507,29.921362839841507
14,Network,Net,29.921362839841507,30.121362839841506
16,Computation,S2 (Pod 3),30.03924901077519,31.28924901077519
16,Network,Net,31.28924901077519,31.48924901077519
18,Computation,S1 (Pod 1),31.614634012050338,32.11463401205034
18,Network,Net,32.11463401205034,32.31463401205034
18,Computation,S2 (Pod 3),32.31463401205034,33.56463401205034
18,Network,Net,33.56463401205034,33.764634012050344
20,Computation,S1 (Pod 1),35.48965247092056,35.98965247092056
20,Network,Net,35.98965247092056,36.189652470920564
20,Computation,S2 (Pod 3),36.189652470920564,37.439652470920564
20,Network,Net,37.439652470920564,37.639652470920566
22,Computation,S1 (Pod 1),40.04319685736698,40.54319685736698
22,Network,Net,40.54319685736698,40.74319685736698
22,Computation,S2 (Pod 3),40.74319685736698,41.99319685736698
22,Network,Net,41.99319685736698,42.193196857366985
24,Computation,S1 (Pod 1),43.47110132736868,43.97110132736868
24,Network,Net,43.97110132736868,44.17110132736868
24,Computation,S2 (Pod 3),44.17110132736868,45.42110132736868
24,Network,Net,45.42110132736868,45.621101327368685
26,Computation,S1 (Pod 1),46.32771587414647,46.82771587414647
26,Network,Net,46.82771587414647,47.02771587414647
26,Computation,S2 (Pod 3),47.02771587414647,48.27771587414647
26,Network,Net,48.27771587414647,48.477715874146476
28,Computation,S1 (Pod 1),50.6190672667922,51.1190672667922
28,Network,Net,51.1190672667922,51.3190672667922
28,Computation,S2 (Pod 3),51.3190672667922,52.5690672667922
28,Network,Net,52.5690672667922,52.769067266792206
30,Computation,S1 (Pod 1),59.00262759239687,59.50262759239687
30,Network,Net,59.50262759239687,59.70262759239687
30,Computation,S2 (Pod 3),59.70262759239687,60.95262759239687
30,Network,Net,60.95262759239687,61.152627592396875
32,Computation,S1 (Pod 1),62.812070624884036,63.312070624884036
32,Network,Net,63.312070624884036,63.51207062488404
32,Computation,S2 (Pod 3),63.51207062488404,64.76207062488405
32,Network,Net,64.76207062488405,64.96207062488405
34,Computation,S1 (Pod 1),69.48760062833351,69.98760062833351
34,Network,Net,69.98760062833351,70.18760062833351
34,Computation,S2 (Pod 3),70.18760062833351,71.43760062833351
34,Network,Net,71.43760062833351,71.63760062833352
36,Computation,S1 (Pod 1),74.94741710182613,75.44741710182613
36,Network,Net,75.44741710182613,75.64741710182614
36,Computation,S2 (Pod 3),75.64741710182614,76.89741710182614
36,Network,Net,76.89741710182614,77.09741710182614
38,Computation,S1 (Pod 1),76.76207190501006,77.26207190501006
38,Network,Net,77.26207190501006,77.46207190501006
38,Computation,S2 (Pod 3),77.46207190501006,78.71207190501006
38,Network,Net,78.71207190501006,78.91207190501007
40,Computation,S1 (Pod 1),79.12519185632682,79.62519185632682
40,Network,Net,79.62519185632682,79.82519185632682
40,Computation,S2 (Pod 3),79.82519185632682,81.07519185632682
40,Network,Net,81.07519185632682,81.27519185632683
42,Computation,S1 (Pod 1),81.67119054384638,82.17119054384638
42,Network,Net,82.17119054384638,82.37119054384638
42,Computation,S2 (Pod 3),82.37119054384638,83.62119054384638
42,Network,Net,83.62119054384638,83.82119054384638
44,Computation,S1 (Pod 1),85.51131535598302,86.01131535598302
44,Network,Net,86.01131535598302,86.21131535598302
44,Computation,S2 (Pod 3),86.21131535598302,87.46131535598302
44,Network,Net,87.46131535598302,87.66131535598302
46,Computation,S1 (Pod 1),90.33474667948465,90.83474667948465
46,Network,Net,90.83474667948465,91.03474667948466
48,Computation,S1 (Pod 1),91.42956729597194,91.92956729597194
48,Network,Net,91.92956729597194,92.12956729597194
46,Computation,S2 (Pod 3),91.03474667948466,92.43992606299737
46,Network,Net,92.43992606299737,92.63992606299738
48,Computation,S2 (Pod 3),92.12956729597194,93.53474667948466
48,Network,Net,93.53474667948466,93.73474667948466
50,Computation,S1 (Pod 1),95.83985959365509,96.33985959365509
50,Network,Net,96.33985959365509,96.5398595936551
50,Computation,S2 (Pod 3),96.5398595936551,97.7898595936551
50,Network,Net,97.7898595936551,97.9898595936551
52,Computation,S1 (Pod 1),98.26603111066677,98.76603111066677
52,Network,Net,98.76603111066677,98.96603111066678
52,Computation,S2 (Pod 3),98.96603111066678,100.21603111066678
52,Network,Net,100.21603111066678,100.41603111066678
